"country","vaccine","birth_cohort","median","iqr","mean","sd","range","quan_01","quan_05","quan_15","quan_25","quan_50","quan_75","quan_85","quan_95","quan_99"
"All","IPV-D1",2009,3,"(1, 8)",6.7,"(10.58)","(-16, 57)",-5.2,-1,0,1,3,8,13.7,27.9,43.2
"All","IPV-D1",2010,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","IPV-D1",2011,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","IPV-D1",2012,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","IPV-D1",2013,17,"(7.5, 42.5)",30.6,"(34.96)","(-14, 126)",-10,2,5.2,7.5,17,42.5,53.5,110.2,124
"All","IPV-D1",2014,4,"(1, 14)",9.4,"(16.78)","(-27, 88)",-24.8,-16,-1,1,4,14,23.2,39,66.1
"All","IPV-D1",2015,11,"(5, 16)",12.7,"(13.71)","(-28, 120)",-7.1,-1,2,5,11,16,21,35,66.3
"All","IPV-D1",2016,11,"(7, 18)",15.3,"(16.91)","(-14, 131)",-9,-0.8,3,7,11,18,26.5,51,89.8
"All","IPV-D1",2017,3,"(1, 9)",7.9,"(13.99)","(-15, 119)",-3.8,-1,0,1,3,9,14,30,73.8
"All","IPV-D1",2018,3,"(1, 7)",6.8,"(12.76)","(-10, 114)",-2,-1,0,1,3,7,10,27,64.2
"All","IPV-D1",2019,3,"(1, 6)",6.3,"(12.56)","(-16, 135)",-6,-1,0,1,3,6,10,25,67.2
"All","IPV-D1",2020,2,"(0, 5)",4.7,"(9.06)","(-12, 75)",-6.1,-1,0,0,2,5,9,20,52
"All","IPV-D1",2021,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","IPV-D1",2022,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","MCV-D1",2006,2,"(1, 5)",5.8,"(17.93)","(-39, 152)",-16.5,-1,0,1,2,5,7,18.8,68.5
"All","MCV-D1",2007,2,"(1, 6)",8.4,"(23.76)","(-52, 196)",-18.6,-2,0,1,2,6,11,46.9,142.8
"All","MCV-D1",2008,2,"(0, 7)",8.6,"(22.59)","(-54, 196)",-22,-2,0,0,2,7,13,50,118.8
"All","MCV-D1",2009,2,"(0, 7)",7.3,"(19.07)","(-54, 202)",-23,-7,-1,0,2,7,14,44,85.5
"All","MCV-D1",2010,2,"(0, 7)",9.1,"(26.01)","(-54, 206)",-22,-11,-2,0,2,7,15,54,147.6
"All","MCV-D1",2011,2,"(0, 6)",7.8,"(21.35)","(-54, 157)",-20,-6,-2,0,2,6,14,50,118
"All","MCV-D1",2012,2,"(-1, 5)",6.2,"(16.55)","(-54, 160)",-22,-2,-2,-1,2,5,10,40,83
"All","MCV-D1",2013,3,"(1, 7)",6,"(13.63)","(-48, 121)",-24,-4,-1,1,3,7,11,33,62
"All","MCV-D1",2014,2,"(0, 6)",6.7,"(15.41)","(-54, 105)",-22,-2,0,0,2,6,12,41,76
"All","MCV-D1",2015,3,"(1, 13)",8,"(14.17)","(-53, 102)",-21,-3,0,1,3,13,17,36,66.7
"All","MCV-D1",2016,3,"(0, 7)",5.8,"(13.87)","(-53, 109)",-24,-6,-1,0,3,7,11,35,61
"All","MCV-D1",2017,3,"(1, 7)",6,"(13.57)","(-41, 114)",-28,-4,-1,1,3,7,12,34,61
"All","MCV-D1",2018,3,"(1, 8)",6,"(13.01)","(-41, 114)",-30,-4,-1,1,3,8,13,31,58.9
"All","MCV-D1",2019,2,"(0, 5)",4.5,"(12.09)","(-41, 105)",-24,-5,-1,0,2,5,9,22,59
"All","MCV-D1",2020,2,"(0, 4.25)",3.6,"(11.2)","(-37, 82)",-30.2,-5,-1,0,2,4.2,7,22.2,53.5
"All","MCV-D1",2021,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","MCV-D1",2022,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","MCV-D2",2006,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","MCV-D2",2007,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","MCV-D2",2008,-10,"(-15.5, -4.5)",-10,"(15.56)","(-21, 1)",-20.8,-19.9,-17.7,-15.5,-10,-4.5,-2.3,-0.1,0.8
