"country","BCG","DTP-D1","DTP-D2","DTP-D3","OPV-BD","OPV-D1","OPV-D2","OPV-D3","IPV-D1","MCV-D1","MCV-D2","HepB-BD","HepB-D1","HepB-D2","HepB-D3","Hib-D1","Hib-D2","Hib-D3","PCV-D1","PCV-D2","PCV-D3","RV-D1","RV-D2","RV-D3"
"Congo (2012)","2 (0, 4)","2 (0, 4)","3 (1, 5)","3 (1, 7)","2 (0, 3)","2 (0, 4)","3 (1, 6)","3 (1, 7)","NA (NA, NA)","5 (3, 9)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Congo Democratic Republic (2014)","1 (0, 4)","2 (0, 5)","3 (0, 8)","4 (1, 11)","1 (0, 4)","2 (0, 5)","3 (0, 8)","4 (1, 10.5)","NA (NA, NA)","2 (0, 9)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Cote d'Ivoire (2021)","2 (1, 3)","2 (0, 4)","3 (1, 5)","4 (1, 8)","2 (0, 3)","2 (0, 4)","3 (1, 5)","4 (2, 7)","4 (2, 8)","2 (0, 7)","NA (NA, NA)","NA (NA, NA)","2 (0, 4)","3 (1, 5)","4 (1, 8)","2 (0, 4)","3 (1, 5)","4 (1, 8)","2 (0, 4)","3 (1, 5)","4 (1, 8)","2 (0, 4)","3 (1, 6)","NA (NA, NA)"
"Dominican Republic (2013)","1 (0, 2)","1 (0, 2)","2 (1, 5)","3 (1, 8)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","-48 (-50, -43)","NA (NA, NA)","3 (1, 8)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","46 (44, 51)","40 (8, 76.5)","NA (NA, NA)"
"Egypt (2014)","2 (0, 3)","0 (-1, 1)","1 (0, 2)","1 (0, 2)","1 (0, 2)","0 (-1, 1)","1 (0, 2)","1 (0, 2)","NA (NA, NA)","0 (-4.5, 2)","2 (1, 4)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Ethiopia (2011)","6 (2, 10)","2 (0, 4)","2 (0, 6.5)","3 (1, 7.25)","1 (0, 3)","2 (0, 4)","3 (0, 7)","3 (1, 8)","3 (1, 8)","2 (0, 7)","4 (-15.75, 41.5)","NA (NA, NA)","2 (0, 4)","2 (0, 6.5)","3 (1, 7.25)","2 (0, 4)","2 (0, 6.5)","3 (1, 7.25)","2 (0, 4)","2 (0, 7)","3 (1, 7)","2 (0, 4)","2.5 (0, 7)","NA (NA, NA)"
"Gabon (2021)","2 (0, 3)","1 (0, 3)","2 (1, 4)","3 (1, 6)","2 (0, 3)","1 (0, 3)","2 (1, 4.75)","3 (1, 6)","3 (1, 6)","2 (1, 6)","NA (NA, NA)","NA (NA, NA)","1 (0, 3)","2 (1, 4)","3 (1, 6)","1 (0, 3)","2 (1, 4)","3 (1, 6)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Ghana (2014)","2 (0, 4)","2 (0, 3)","3 (1, 6)","4 (2, 8)","1 (0, 2)","2 (0, 3)","3 (1, 6)","4 (2, 8)","NA (NA, NA)","3 (1, 6)","7 (1, 20)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","2 (1, 5)","3 (1, 6)","4 (2, 8)","2 (1, 4)","3 (2, 6)","NA (NA, NA)"
"Guatemala (2015)","2 (0, 5)","1 (-1, 4)","3 (0, 6)","4 (1, 9)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","4 (1, 9)","NA (NA, NA)","2 (-2, 4)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","4 (0, 23)","4 (1, 10)","NA (NA, NA)","1 (0, 4)","3 (1, 6)","NA (NA, NA)"
"Guinea (2018)","2 (0, 5)","2 (-1, 6)","3 (0, 9)","4 (0, 12)","2 (0, 4)","2 (-1, 6)","3 (0, 8)","4 (0, 12)","15 (3, 26)","1 (-6, 7)","NA (NA, NA)","NA (NA, NA)","2 (-1, 6)","3 (0, 9)","4 (0, 12)","2 (-1, 6)","3 (0, 9)","4 (0, 12)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Haiti (2017)","5 (2, 13)","4 (2, 10)","7 (3, 15)","11 (5, 23)","NA (NA, NA)","9 (7, 13)","6 (3, 13)","9 (4, 21)","NA (NA, NA)","5 (1, 19)","NA (NA, NA)","NA (NA, NA)","4 (2, 10)","7 (3, 15)","11 (5, 23)","4 (2, 10)","7 (3, 15)","11 (5, 23)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","4 (2, 10)","7 (3, 13.25)","NA (NA, NA)"
"Honduras (2012)","1 (0, 3)","1 (-1, 2)","2 (0.75, 4)","2 (1, 5)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","2 (1, 5)","NA (NA, NA)","2 (0, 3)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","75 (8, 133)","3 (1, 9)","3 (1, 6.5)","1 (-1, 2)","2 (0, 3)","NA (NA, NA)"
"India (2021)","1 (0, 2)","2 (1, 6)","4 (2, 7)","5 (3, 11)","1 (-1, 2)","2 (1, 4)","4 (2, 7)","5 (3, 11)","NA (NA, NA)","3 (1, 8)","8 (2, 13.5)","1 (-1, 2)","2 (1, 5)","4 (2, 7)","5 (3, 11)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","3 (1, 5)","4 (2, 8)","5 (3, 11)"
"Indonesia (2017)","5 (4, 8)","3 (0, 4)","4 (1, 7)","5 (2, 10)","NA (NA, NA)","8 (5, 10)","8 (5, 12)","10 (7, 16)","NA (NA, NA)","3 (0, 5)","NA (NA, NA)","1 (-1, 2)","3 (0, 4)","4 (1, 7)","5 (2, 10)","3 (0, 4)","4 (1, 7)","5 (2, 10)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"Jordan (2018)","4 (2, 6)","-2 (-4, 0)","-1 (-3, 2)","0 (-3, 4)","NA (NA, NA)","-1 (-3, 2)","0 (-2, 4)","2 (0, 5)","NA (NA, NA)","15 (13, 19)","4 (1, 8)","NA (NA, NA)","-2 (-4, 0)","-1 (-3, 2)","0 (-2, 4)","-2 (-4, 0)","-1 (-3, 2)","0 (-2, 4)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","-2 (-4, 0)","-1 (-3, 2)","0 (-2, 4)"
"Kenya (2022)","1 (0, 3)","1 (-1, 2)","1 (0, 3)","2 (0, 3)","1 (0, 2)","1 (-1, 2)","1 (0, 3)","2 (0, 4)","2 (0, 3)","2 (0, 4)","3 (1, 7)","NA (NA, NA)","1 (-1, 2)","1 (0, 3)","2 (0, 3)","1 (-1, 2)","1 (0, 3)","2 (0, 3)","1 (-1, 2)","1 (0, 3)","2 (0, 3)","1 (-1, 2)","1 (0, 3)","NA (NA, NA)"
