"Vaccine","Characteristic","Levels","Date Available (n)","Date Not Available (n)","Date Available (%)","Date Not Availanle (%)","Chi2","Flag 5%","Flag 10%","Flag 20%"
"OPV-D2","Husband's Education","None","35652","20581","20.96","26.36","5.07971058837469e-250","*","",""
"","","Primary","48599","18640","28.57","23.88","","","",""
"","","Secondary","66081","30400","38.85","38.94","","","",""
"","","Higher","19755","8445","11.61","10.82","","","",""
"OPV-D2","Husband's Occupation","No work","6504","2761","3.88","3.43","5.16126176496915e-308","","",""
"","","Prof/Manager/Clerical/Sales","36885","19820","21.98","24.61","","","",""
"","","Agricultural","54987","30427","32.77","37.78","","*","",""
"","","Household/Services","24089","8517","14.35","10.57","","","",""
"","","Manual work","45349","19016","27.02","23.61","","","",""
"OPV-D3","Sex at birth","Male","127368","34613","51.24","50.78","0.0320241231227408","","",""
"","","Female","121180","33549","48.76","49.22","","","",""
"OPV-D3","Health Card","No card","22","11245","0.01","16.52","0","*","**",""
"","","Yes - Seen","248086","12235","99.81","17.97","","*","**","***"
"","","Yes - Not Seen","33","29891","0.01","43.9","","*","**","***"
"","","Lost","32","14603","0.01","21.45","","*","**","***"
"","","Other","375","108","0.15","0.16","","","",""
"OPV-D3","Urban/Rural","Urban","76733","21477","30.87","31.51","0.00148895644188131","","",""
"","","Rural","171815","46685","69.13","68.49","","","",""
"OPV-D3","Residence","City","786","192","16.07","20.1","0.00331799677254071","","",""
"","","Town","1405","282","28.72","29.53","","","",""
"","","Countryside","2701","481","55.21","50.37","","","",""
"OPV-D3","Wealth Quintile","Poorest","58433","17638","23.51","25.88","1.08948636073527e-37","","",""
"","","Poor","54371","14613","21.88","21.44","","","",""
"","","Middle","50452","13010","20.3","19.09","","","",""
"","","Rich","45685","12131","18.38","17.8","","","",""
"","","Richest","39607","10770","15.94","15.8","","","",""
"OPV-D3","Mother's Education","None","51676","19587","21.14","30.13","0","*","",""
"","","Primary","62321","17473","25.5","26.87","","","",""
"","","Secondary","102576","22013","41.97","33.86","","*","",""
"","","Higher","27853","5945","11.4","9.14","","","",""
"OPV-D3","Mother's Marital Status","Not married","9546","2207","3.84","3.24","1.51093007413175e-79","","",""
"","","Married/Living together","229047","62152","92.15","91.18","","","",""
"","","Widowed/Divorced/Not living together","9955","3803","4.01","5.58","","","",""
"OPV-D3","Husband's Education","None","31852","13517","20.62","25.47","6.18327591827369e-178","","",""
"","","Primary","44357","12532","28.71","23.61","","*","",""
"","","Secondary","60140","21133","38.93","39.82","","","",""
"","","Higher","18150","5892","11.75","11.1","","","",""
"OPV-D3","Husband's Occupation","No work","5768","1712","3.79","3.12","1.41115139153732e-206","","",""
"","","Prof/Manager/Clerical/Sales","33419","13489","21.97","24.59","","","",""
"","","Agricultural","49751","20443","32.71","37.27","","","",""
"","","Household/Services","21881","5828","14.39","10.62","","","",""
"","","Manual work","41285","13383","27.14","24.4","","","",""
"IPV-D1","Sex at birth","Male","20836","12506","51.18","50.61","0.155541245646804","","",""
"","","Female","19873","12206","48.82","49.39","","","",""
"IPV-D1","Health Card","No card","0","1897","0","7.68","0","*","",""
"","","Yes - Seen","40470","3529","99.41","14.28","","*","**","***"
"","","Yes - Not Seen","0","5997","0","24.27","","*","**","***"
"","","Lost","0","12976","0","52.51","","*","**","***"
"","","Other","239","313","0.59","1.27","","","",""
"IPV-D1","Urban/Rural","Urban","14393","9826","35.36","39.76","1.20418632874107e-29","","",""
"","","Rural","26316","14886","64.64","60.24","","","",""
"IPV-D1","Wealth Quintile","Poorest","9367","5390","23.01","21.81","4.67029648341443e-16","","",""
"","","Poor","8417","4713","20.68","19.07","","","",""
"","","Middle","8325","4961","20.45","20.08","","","",""
"","","Rich","7677","4926","18.86","19.93","","","",""
"","","Richest","6923","4722","17.01","19.11","","","",""
"IPV-D1","Mother's Education","None","11303","8048","27.77","32.57","1.93219743160752e-38","","",""
"","","Primary","11760","6656","28.89","26.93","","","",""
"","","Secondary","13619","7571","33.45","30.64","","","",""
"","","Higher","4027","2437","9.89","9.86","","","",""
"IPV-D1","Mother's Marital Status","Not married","2646","1504","6.5","6.09","7.7508357520486e-29","","",""
"","","Married/Living together","36302","21645","89.17","87.59","","","",""
"","","Widowed/Divorced/Not living together","1761","1563","4.33","6.32","","","",""
"IPV-D1","Husband's Education","None","9647","6656","28.06","33.09","8.4697969155942e-56","*","",""
"","","Primary","8785","4192","25.56","20.84","","","",""
"","","Secondary","11109","6133","32.32","30.49","","","",""
"","","Higher","4833","3131","14.06","15.57","","","",""
"IPV-D1","Husband's Occupation","No work","1792","1551","5.16","7.56","1.14173635842167e-62","","",""
"","","Prof/Manager/Clerical/Sales","8971","6080","25.85","29.65","","","",""
"","","Agricultural","10899","6066","31.4","29.58","","","",""
"","","Household/Services","3112","1830","8.97","8.92","","","",""
"","","Manual work","9935","4978","28.62","24.28","","","",""
"IPV-D2","Sex at birth","Male","23","273","48.94","52.5","0.75204049344755","","",""
"","","Female","24","247","51.06","47.5","","","",""
"IPV-D2","Health Card","No card","0","59","0","11.35","4.91323046196474e-101","*","**",""
"","","Yes - Seen","47","9","100","1.73","","*","**","***"
"","","Yes - Not Seen","0","156","0","30","","*","**","***"
"","","Lost","0","296","0","56.92","","*","**","***"
"IPV-D2","Urban/Rural","Urban","21","215","44.68","41.35","0.77208367137722","","",""
"","","Rural","26","305","55.32","58.65","","","",""
"IPV-D2","Wealth Quintile","Poorest","10","147","21.28","28.27","0.271310527333344","*","",""
"","","Poor","10","117","21.28","22.5","","","",""
"","","Middle","7","91","14.89","17.5","","","",""
"","","Rich","7","86","14.89","16.54","","","",""
"","","Richest","13","79","27.66","15.19","","*","**",""
"IPV-D2","Mother's Education","None","3","2","6.38","0.38","9.16398836429562e-05","*","",""
"","","Primary","11","78","23.4","15","","*","",""
"","","Secondary","20","231","42.55","44.42","","","",""
"","","Higher","13","209","27.66","40.19","","*","**",""
"IPV-D2","Mother's Marital Status","Not married","1","26","2.13","5","0.395348783808367","","",""
"","","Married/Living together","46","483","97.87","92.88","","","",""
"","","Widowed/Divorced/Not living together","0","11","0","2.12","","","",""
"IPV-D2","Husband's Education","None","7","8","15.22","1.66","1.27251622487422e-06","*","**",""
"","","Primary","7","50","15.22","10.35","","","",""
"","","Secondary","17","251","36.96","51.97","","*","**",""
"","","Higher","15","174","32.61","36.02","","","",""
